ISO3,cohortYear,vaccine,coverage
AFG,2002,DTP3,30
AFG,2002,Pol3,51
AFG,2005,BCG,70.2
AFG,2005,DTP1,60.4
AFG,2005,DTP3,34.6
AFG,2005,FULL,27.1
AFG,2005,MCV1,62.6
AFG,2005,Pol3,69.7
AFG,2006,TT2+,23.8
AFG,2007,BCG,73.9
AFG,2007,DTP1,63
AFG,2007,DTP3,43.3
AFG,2007,FULL,37.2
AFG,2007,MCV1,55.9
AFG,2007,Pol3,70.9
AFG,2007,TT2+,33
AFG,2009,PAB,40.8
AFG,2009,TT2+,30.9
AFG,2010,BCG,61.3
AFG,2010,BCG,31
AFG,2010,BCG,64.2
AFG,2010,BCG,33.1
AFG,2010,DTP1,53.2
AFG,2010,DTP1,31.8
AFG,2010,DTP1,57.5
AFG,2010,DTP1,25.6
AFG,2010,DTP3,35
AFG,2010,DTP3,31.5
AFG,2010,DTP3,40.2
AFG,2010,DTP3,8.7
AFG,2010,FULL,17.6
AFG,2010,FULL,29.4
AFG,2010,FULL,30
AFG,2010,FULL,0.7
AFG,2010,MCV1,43.8
AFG,2010,MCV1,29.9
AFG,2010,MCV1,55.5
AFG,2010,MCV1,25.6
AFG,2010,Pol1,66.1
AFG,2010,Pol1,30.4
AFG,2010,Pol1,71.4
AFG,2010,Pol1,41.1
AFG,2010,Pol3,41.8
AFG,2010,Pol3,30.3
AFG,2010,Pol3,48
AFG,2010,Pol3,17.8
AFG,2011,TT2+,35
AFG,2012,BCG,63.9
AFG,2012,BCG,62.4
AFG,2012,BCG,62.4
AFG,2012,BCG,77.9
AFG,2012,BCG,14
AFG,2012,DTP1,63.1
AFG,2012,DTP1,77.6
AFG,2012,DTP1,45.5
AFG,2012,DTP1,77.6
AFG,2012,DTP1,14.5
AFG,2012,DTP3,53.5
AFG,2012,DTP3,50.7
AFG,2012,DTP3,34.6
AFG,2012,DTP3,59.7
AFG,2012,DTP3,6.2
AFG,2012,FULL,46.8
AFG,2012,FULL,36.3
AFG,2012,FULL,18.1
AFG,2012,FULL,51
AFG,2012,FULL,4.1
AFG,2012,HepB1,63.1
AFG,2012,HepB1,77.6
AFG,2012,HepB1,45.5
AFG,2012,HepB1,77.6
AFG,2012,HepB1,14.5
AFG,2012,HepB3,53.5
AFG,2012,HepB3,50.7
AFG,2012,HepB3,34.6
AFG,2012,HepB3,59.7
AFG,2012,HepB3,6.2
AFG,2012,Hib1,63.1
AFG,2012,Hib1,77.6
AFG,2012,Hib1,45.5
AFG,2012,Hib1,77.6
AFG,2012,Hib1,14.5
AFG,2012,Hib3,53.5
AFG,2012,Hib3,50.7
AFG,2012,Hib3,34.6
AFG,2012,Hib3,59.7
AFG,2012,Hib3,6.2
AFG,2012,MCV1,49.6
AFG,2012,MCV1,39.2
AFG,2012,MCV1,26.9
AFG,2012,MCV1,58.8
AFG,2012,MCV1,9.2
AFG,2012,PAB,58.6
AFG,2012,Pol1,63.1
AFG,2012,Pol1,60.6
AFG,2012,Pol1,45.5
AFG,2012,Pol1,77.6
AFG,2012,Pol1,14.5
AFG,2012,Pol3,53.7
AFG,2012,Pol3,49.3
AFG,2012,Pol3,33.9
AFG,2012,Pol3,63.5
AFG,2012,Pol3,9.8
AFG,2012,TT2,73.8
AFG,2012,TT3,49.3
AFG,2012,TT4,23
AFG,2012,TT5,10
AFG,2013,BCG,64
AFG,2013,DTP1,60.9
AFG,2013,DTP3,43.8
AFG,2013,HepB1,60.9
AFG,2013,HepB3,43.8
AFG,2013,Hib1,60.9
AFG,2013,Hib3,43.8
AFG,2013,MCV1,45.1
AFG,2013,Pol1,77.2
AFG,2013,Pol3,56.5
AFG,2014,BCG,73
AFG,2014,BCG,54.5
AFG,2014,BCG,73.7
AFG,2014,DTP1,71.2
AFG,2014,DTP1,54.7
AFG,2014,DTP1,73
AFG,2014,DTP3,55
AFG,2014,DTP3,47
AFG,2014,DTP3,57.7
AFG,2014,FULL,38.2
AFG,2014,FULL,39.7
AFG,2014,FULL,45.7
AFG,2014,HepB1,71.2
AFG,2014,HepB1,54.7
AFG,2014,HepB1,73
AFG,2014,HepB3,55
AFG,2014,HepB3,47
AFG,2014,HepB3,57.7
AFG,2014,Hib1,71.2
AFG,2014,Hib1,54.7
AFG,2014,Hib1,73
AFG,2014,Hib3,55
AFG,2014,Hib3,47
AFG,2014,Hib3,57.7
AFG,2014,MCV1,50.6
AFG,2014,MCV1,43.7
AFG,2014,MCV1,60.4
AFG,2014,PCV1,61.4
AFG,2014,PCV1,48
AFG,2014,PCV1,62.6
AFG,2014,PCV3,41.8
AFG,2014,PCV3,37.2
AFG,2014,PCV3,44.9
AFG,2014,Pol1,85
AFG,2014,Pol1,55.3
AFG,2014,Pol1,85
AFG,2014,Pol3,62.8
AFG,2014,Pol3,48.2
AFG,2014,Pol3,64.8
AGO,2000,BCG,32.6
AGO,2000,BCG,63
AGO,2000,BCG,68.8
AGO,2000,BCG,36.2
AGO,2000,DTP1,29.1
AGO,2000,DTP1,49.8
AGO,2000,DTP1,55.8
AGO,2000,DTP1,26.7
AGO,2000,DTP3,23.1
AGO,2000,DTP3,27.6
AGO,2000,DTP3,33.9
AGO,2000,DTP3,10.9
AGO,2000,FULL,20.4
AGO,2000,FULL,17.7
AGO,2000,FULL,26.7
AGO,2000,FULL,6.3
AGO,2000,MCV1,24.9
AGO,2000,MCV1,42.4
AGO,2000,MCV1,53.4
AGO,2000,MCV1,28.5
AGO,2000,Pol1,30.1
AGO,2000,Pol1,73.7
AGO,2000,Pol1,82.4
AGO,2000,Pol1,52.3
AGO,2000,Pol3,23.7
AGO,2000,Pol3,51.4
AGO,2000,Pol3,63.2
AGO,2000,Pol3,39.5
AGO,2000,TT2+,62.1
AGO,2012,BCG,32
AGO,2012,BCG,88
AGO,2012,DTP1,30
AGO,2012,DTP1,83
AGO,2012,DTP3,27
AGO,2012,DTP3,48
AGO,2012,HepB1,30
AGO,2012,HepB1,83
AGO,2012,HepB3,27
AGO,2012,HepB3,48
AGO,2012,Hib1,30
AGO,2012,Hib1,83
AGO,2012,Hib3,27
AGO,2012,Hib3,48
AGO,2012,MCV1,26
AGO,2012,MCV1,72
AGO,2012,Pol1,30
AGO,2012,Pol1,83
AGO,2012,Pol3,27
AGO,2012,Pol3,42
AGO,2012,YFV,22
AGO,2012,YFV,64
AGO,2013,BCG,65.9
AGO,2013,BCG,31.1
AGO,2013,BCG,70.6
AGO,2013,BCG,39.5
AGO,2013,DTP1,62.1
AGO,2013,DTP1,32.2
AGO,2013,DTP1,66.7
AGO,2013,DTP1,34.5
AGO,2013,DTP2,43.8
AGO,2013,DTP2,29.4
AGO,2013,DTP2,46.3
AGO,2013,DTP2,16.9
AGO,2013,DTP3,31.9
AGO,2013,DTP3,25.5
AGO,2013,DTP3,34.9
AGO,2013,DTP3,9.3
AGO,2013,FULL,22.4
AGO,2013,FULL,21.5
AGO,2013,FULL,26.1
AGO,2013,FULL,4.6
AGO,2013,FULL <1 year,7
AGO,2013,FULL <1 year,7.4
AGO,2013,FULL <1 year,8.5
AGO,2013,FULL <1 year,1
AGO,2013,HepB1,62.1
AGO,2013,HepB1,32.2
AGO,2013,HepB1,66.7
AGO,2013,HepB1,34.5
AGO,2013,HepB3,31.9
AGO,2013,HepB3,25.5
AGO,2013,HepB3,34.9
AGO,2013,HepB3,9.3
AGO,2013,Hib1,62.1
AGO,2013,Hib1,32.2
AGO,2013,Hib1,66.7
AGO,2013,Hib1,34.5
AGO,2013,Hib3,31.9
AGO,2013,Hib3,25.5
AGO,2013,Hib3,34.9
AGO,2013,Hib3,9.3
AGO,2013,MCV1,49.1
AGO,2013,MCV1,25.6
AGO,2013,MCV1,58.7
AGO,2013,MCV1,33.1
AGO,2013,PCV1,51
AGO,2013,PCV1,26.6
AGO,2013,PCV1,55.4
AGO,2013,PCV1,28.8
AGO,2013,PCV2,34
AGO,2013,PCV2,23.1
AGO,2013,PCV2,36.3
AGO,2013,PCV2,13.2
AGO,2013,PCV3,22.5
AGO,2013,PCV3,18.7
AGO,2013,PCV3,25
AGO,2013,PCV3,6.3
AGO,2013,Pol1,56.7
AGO,2013,Pol1,32.5
AGO,2013,Pol1,61.3
AGO,2013,Pol1,28.8
AGO,2013,Pol2,48.1
AGO,2013,Pol2,29.5
AGO,2013,Pol2,51.2
AGO,2013,Pol2,21.7
AGO,2013,Pol3,33.5
AGO,2013,Pol3,25.2
AGO,2013,Pol3,37
AGO,2013,Pol3,11.8
AGO,2013,Rota1,39.2
AGO,2013,Rota1,16.6
AGO,2013,Rota1,44.6
AGO,2013,Rota1,28
AGO,2014,BCG,70.4
AGO,2014,BCG,42.1
AGO,2014,BCG,71.9
AGO,2014,BCG,29.9
AGO,2014,DTP1,67.1
AGO,2014,DTP1,42.9
AGO,2014,DTP1,68.8
AGO,2014,DTP1,25.9
AGO,2014,DTP2,49.7
AGO,2014,DTP2,38.2
AGO,2014,DTP2,51.6
AGO,2014,DTP2,13.4
AGO,2014,DTP3,38.1
AGO,2014,DTP3,33.8
AGO,2014,DTP3,39.6
AGO,2014,DTP3,5.8
AGO,2014,FULL,28.2
AGO,2014,FULL,28.2
AGO,2014,FULL,30.6
AGO,2014,FULL,2.4
AGO,2014,FULL <1 year,12.5
AGO,2014,FULL <1 year,11.3
AGO,2014,FULL <1 year,12.6
AGO,2014,FULL <1 year,1.3
AGO,2014,HepB1,67.1
AGO,2014,HepB1,42.9
AGO,2014,HepB1,68.8
AGO,2014,HepB1,25.9
AGO,2014,HepB3,38.1
AGO,2014,HepB3,33.8
AGO,2014,HepB3,39.6
AGO,2014,HepB3,5.8
AGO,2014,Hib1,67.1
AGO,2014,Hib1,42.9
AGO,2014,Hib1,68.8
AGO,2014,Hib1,25.9
AGO,2014,Hib3,38.1
AGO,2014,Hib3,33.8
AGO,2014,Hib3,39.6
AGO,2014,Hib3,5.8
AGO,2014,MCV1,51.2
AGO,2014,MCV1,31.9
AGO,2014,MCV1,56.1
AGO,2014,MCV1,24.2
AGO,2014,MCV2,25.2
AGO,2014,MCV2,14.9
AGO,2014,MCV2,26.4
AGO,2014,MCV2,11.5
AGO,2014,PAB,66.2
AGO,2014,PCV1,60.6
AGO,2014,PCV1,39.8
AGO,2014,PCV1,62
AGO,2014,PCV1,22.2
AGO,2014,PCV2,41.8
AGO,2014,PCV2,34
AGO,2014,PCV2,43.7
AGO,2014,PCV2,9.7
AGO,2014,PCV3,31
AGO,2014,PCV3,28.2
AGO,2014,PCV3,32.5
AGO,2014,PCV3,4.3
AGO,2014,Pol1,65.8
AGO,2014,Pol1,43.4
AGO,2014,Pol1,67.6
AGO,2014,Pol1,24.2
AGO,2014,Pol2,53.3
AGO,2014,Pol2,38.8
AGO,2014,Pol2,55.5
AGO,2014,Pol2,16.7
AGO,2014,Pol3,39.9
AGO,2014,Pol3,34.6
AGO,2014,Pol3,41.8
AGO,2014,Pol3,7.2
AGO,2014,Rota1,50.6
AGO,2014,Rota1,30.9
AGO,2014,Rota1,52.5
AGO,2014,Rota1,21.5
AGO,2014,RotaC,34.3
AGO,2014,RotaC,24.8
AGO,2014,RotaC,34.9
AGO,2014,RotaC,10.1
AGO,2014,TT2+,56
AGO,2014,YFV,48.5
ALB,2008,BCG,96.8
ALB,2008,BCG,93.8
ALB,2008,BCG,97.9
